complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
The mess doesn't cater well to students with dietary restrictions. No proper vegetarian options beyond the standard menu. Some variety please.,Mess/Food,Medium,More than a month,20+,synthetic,,,
"Canteen staff is rude when you ask for extra roti or point out something wrong with the food. We are customers, treat us with respect.",Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
Not encouraging students to improve their skills but attend those typical lectures with 0 value,Academics,High,More than a month,20+,real,,,
papad ki shortage rahti hai,Mess/Food,Medium,More than a month,2 to 5,synthetic,,,
portal login issue aa raha hai,Other,High,From Last Month,5 to 20,synthetic,,,
College fee payment portal crashes near deadline. Then late fee is charged even when the failure was on the portal's end. Unfair.,Other,High,More than a month,2 to 5,synthetic,,,
khana oily bahut hai,Mess/Food,High,More than a month,20+,synthetic,,,
spam messages in college groups,Other,High,More than a month,2 to 5,synthetic,,,
OHU students ke liye mess ka khana affordable hona chahiye. 60-70 rupaye per meal is too much for what they serve. Quality and price dono match nahi karte.,Mess/Food,High,More than a month,5 to 20,synthetic,,,
Light bulbs in some classrooms are of very low wattage  it's dim and strains the eyes during reading. Upgrade to proper bright lighting.,Infrastructure,Low,From last week,5 to 20,synthetic,,,
ac cooling nahi kar raha,Infrastructure,High,Today,2 to 5,synthetic,,,
Senior students spread rumors about juniors who report issues. This creates fear and prevents genuine complaints from being raised. Strict confidentiality needed.,Ragging,High,More than a month,2 to 5,synthetic,,,
"As an OHU STUDENT
Papad kaa shortage yawrrrr com'onnn
Low quality food
Bad taste
Looks like alot of milawat
Chapati is too thin
Misal pav's pav is not good quality
Monday ko jo gravy thii, it was stinky chawli ki sabji mee 
",Mess/Food,High,From Last Month,Only me,real,,,
washroom lock toot gaya hai,Infrastructure,High,More than a month,20+,synthetic,,,
printer out of order hai,Technical Issues,High,From last week,2 to 5,synthetic,,,
college portal crash ho gaya,Technical Issues,Medium,From Last Month,2 to 5,synthetic,,,
library mein AC nahi hai,Technical Issues,High,More than a month,5 to 20,synthetic,,,
"Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, some have login issues that don't recognize student IDs. We have practicals to complete with deadlines and we can't work because equipment isn't working. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? Labs need urgent maintenance - not next month, NOW.",Technical Issues,High,More than a month,20+,synthetic,,,
100% attendance compulsory kyu hai yaar,Academics,Medium,More than a month,20+,synthetic,,,
The smell from the washroom near the stationery area is coming into the corridor. It's very unpleasant and students avoid that area. Deep cleaning is needed.,Cleanliness,Medium,More than a month,20+,synthetic,,,
Mess food,Mess/Food,High,More than a month,20+,real,,,
net bohot slow chal raha hai,Technical Issues,High,From last week,20+,synthetic,,,
Medical facility on campus is inadequate. No proper nurse or doctor. Only a basic first aid box available.,Other,High,From Last Month,5 to 20,synthetic,,,
College portal ka mobile interface itna purana hai ki properly open hi nahi hota. Please make it mobile-responsive.,Technical Issues,Low,From Last Month,Only me,synthetic,,,
parking nahi hai proper,Infrastructure,Medium,More than a month,2 to 5,synthetic,,,
"The girls washroom of all the blocks especially d block are always dirty,the door knob of mostly all the stalls are broken ,the flush never works..so the washrooms of vit are in terrible condition and no one even cares to do anything about it.",Cleanliness,High,More than a month,5 to 20,real,,,
"I am a first year student and want to report serious ragging by seniors in our department. They asked us to stand in a line and answer personal questions. When we refused, they threatened to make our college life difficult. One of them told us they know professors who can mark our attendance as absent. We are genuinely scared. We tried to report to a teacher but were told 'it's just seniors being friendly.' This is NOT friendly. Please take strict action. We have the names of the seniors involved.",Ragging,High,From Last Month,Only me,synthetic,,,
Project guidance is minimal. Professor gives one line feedback and disappears for weeks.,Academics,High,More than a month,20+,synthetic,,,
"I want to formally complain about the quality of food being served in the college mess. The food is regularly tasteless, poorly cooked, and sometimes even smells off. The gravy dishes are extremely watery. The chapatis are so thin they fall apart. The price has increased but quality has only gone down. Many students including myself have faced stomach issues after eating from the mess. This is a serious health concern and needs immediate attention from the college administration.",Mess/Food,Low,More than a month,20+,synthetic,,,
"Food quality in the mess is honestly below average. Paneer ki gravy watery hai, sabji mein koi taste nahi, aur roz wahi same menu. Variety laao please.",Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
College mein cleaning ki responsibility only cleaning staff pe hai. No quality check by administration at all.,Cleanliness,High,From Last Month,Only me,synthetic,,,
Professor publicly announces poor-scoring students' marks. This is humiliating and discourages hardworking students.,Ragging,Medium,From Last Month,2 to 5,synthetic,,,
The college library doesn't have enough reference books for new elective subjects. Internet not always reliable.,Other,Low,More than a month,5 to 20,synthetic,,,
A senior student was verbally aggressive with 2-3 juniors in the parking lot. Threatened them and used intimidating language. This is ragging and should be taken seriously.,Ragging,High,More than a month,Only me,synthetic,,,
outside college area littered,Cleanliness,High,More than a month,2 to 5,synthetic,,,
"Professor ek particular student group ke saath bias rakhta hai, favorites ko marks deta hai. This is discrimination.",Ragging,High,Today,Only me,synthetic,,,
Not giving time for students to build skills,Academics,High,More than a month,5 to 20,real,,,
"Alumni network is completely inactive. No mentorship, no networking events, no job referral system.",Other,Low,More than a month,2 to 5,synthetic,,,
"Sir ne attendance ke naam pe bohot threatening language use ki. Said he'll fail us if we don't comply. This is mental harassment, not discipline.",Ragging,High,More than a month,2 to 5,synthetic,,,
canopy leaks rain mein,Infrastructure,High,More than a month,5 to 20,synthetic,,,
"Yaar campus ki cleanliness ki situation kya bata bhai. Canteen ke bahar ka area garbage dump ban gaya hai. Stairs ke corners pe kachra, dustbins overflow ho rahe hai, aur bahar ka road bhi littered hai. Students bhi zimmedaar hai for sure - but cleaning staff bhi visible nahi hai campus pe during the day. Koi ek person responsible hona chahiye jo ensure kare ki campus clean hai throughout the day. Ek Sunday campus cleanliness drive organize karo - involve students bhi. Kuch karo please.",Cleanliness,High,More than a month,20+,synthetic,,,
food stale rehta hai sometimes,Mess/Food,Medium,From Last Month,2 to 5,synthetic,,,
"Library mein padhai karna ek torture ban gaya hai. Books hai, quiet environment hai, seats hai  sab kuch hai but AC nahi. Aur Mumbai ki garmi mein bina AC ke ek ghante se zyada baithna possible hi nahi. Maine khud dekha hai students paseene se bheege hue padh rahe hai. It's been months and nothing has been done. This is a basic facility. Please fix the AC in the library on priority.",Technical Issues,High,More than a month,5 to 20,synthetic,,,
teacher ne galat concept padhaya aur maana nahi,Academics,High,From last week,Only me,synthetic,,,
"The workload distribution in this college is absolutely terrible. In a single week we can have: monday test, ISA exam, 3 assignment submissions, 2 practical records to submit, a mini project review, and regular lectures. All of this happening simultaneously with zero coordination between departments. Teachers don't check with each other before setting deadlines. Students are running from one submission to another, stress levels are through the roof. No time to actually understand anything. This is not education - this is a factory process.",Academics,High,More than a month,20+,synthetic,,,
A group of seniors blocks certain spots in canteen. Juniors afraid to sit there. Territorial behavior is ragging.,Ragging,High,More than a month,Only me,synthetic,,,
no mental health support in college,Other,Low,More than a month,5 to 20,synthetic,,,
